Tested Domain	Other Domain	Gene Symbol	FDR	logFC	p	t statistic	Ensembl Gene ID
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAB1B	0.812	0.054	0.684	0.407	ENSG00000174903
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CNIH2	0.295	-0.292	0.116	-1.573	ENSG00000174871
ACHE_SERT_LC_WM	ACHE_SERT_Npep	YIF1A	0.674	-0.131	0.488	-0.693	ENSG00000174851
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMEM151A	0.948	0.018	0.898	0.128	ENSG00000179292
ACHE_SERT_LC_WM	ACHE_SERT_Npep	B4GAT1	0.001	-0.303	0	-4.233	ENSG00000174684
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CTSF	0.41	-0.151	0.205	-1.269	ENSG00000174080
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RBM4	0.36	-0.214	0.165	-1.389	ENSG00000173933
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SPTBN2	0.837	0.058	0.727	0.349	ENSG00000173898
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PC	0.491	-0.18	0.284	-1.071	ENSG00000173599
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GRK2	0.82	0.063	0.697	0.39	ENSG00000173020
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PPP1CA	0.675	-0.11	0.49	-0.691	ENSG00000172531
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CARNS1	0.028	0.418	0.003	2.979	ENSG00000172508
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PITPNM1	0.545	-0.168	0.34	-0.956	ENSG00000110697
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CDK2AP2	0.779	-0.086	0.635	-0.474	ENSG00000167797
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GSTP1	0.471	-0.083	0.264	-1.118	ENSG00000084207
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFV1	0.948	0.016	0.899	0.127	ENSG00000167792
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFS8	0.054	-0.253	0.008	-2.666	ENSG00000110717
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPL21	0.218	-0.324	0.07	-1.818	ENSG00000197345
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CTTN	0.441	-0.168	0.234	-1.192	ENSG00000085733
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DHCR7	0.812	-0.064	0.684	-0.407	ENSG00000172893
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NUMA1	0.826	-0.055	0.707	-0.377	ENSG00000137497
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LAMTOR1	0.663	-0.083	0.474	-0.716	ENSG00000149357
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PHOX2A	0.178	0.396	0.05	1.964	ENSG00000165462
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CLPB	0.887	0.046	0.798	0.256	ENSG00000162129
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARHGEF17	0.694	-0.106	0.515	-0.652	ENSG00000110237
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FAM168A	0.875	0.035	0.78	0.28	ENSG00000054965
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PLEKHB1	0	0.44	0	7.704	ENSG00000021300
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAB6A	0.139	-0.212	0.033	-2.131	ENSG00000175582
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PAAF1	0.629	0.139	0.436	0.78	ENSG00000175575
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PPME1	0.43	-0.187	0.221	-1.224	ENSG00000214517
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PGM2L1	0.325	-0.226	0.136	-1.492	ENSG00000165434
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SPCS2	0.361	-0.156	0.166	-1.386	ENSG00000118363
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLCO2B1	0.094	0.422	0.018	2.371	ENSG00000137491
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARRB1	0.806	0.051	0.675	0.42	ENSG00000137486
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPS3	0.855	0.025	0.75	0.319	ENSG00000149273
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MAP6	0.297	-0.223	0.118	-1.567	ENSG00000171533
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ACER3	0.124	0.346	0.028	2.205	ENSG00000078124
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PAK1	0.152	-0.388	0.038	-2.079	ENSG00000149269
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CLNS1A	0.485	-0.17	0.276	-1.09	ENSG00000074201
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RSF1	0.139	0.269	0.033	2.132	ENSG00000048649
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFC2	0	-0.399	0	-4.324	ENSG00000151366
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FAM181B	0.709	0.105	0.538	0.616	ENSG00000182103
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRCP	0.401	-0.23	0.198	-1.289	ENSG00000137509
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RAB30	0.461	0.206	0.252	1.147	ENSG00000137502
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CCDC90B	0.173	-0.339	0.047	-1.986	ENSG00000137500
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DLG2	0.671	-0.12	0.483	-0.701	ENSG00000150672
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMEM126B	0.161	-0.35	0.042	-2.038	ENSG00000171204
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PICALM	0.845	0.048	0.737	0.336	ENSG00000073921
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HIKESHI	0.17	-0.37	0.046	-1.996	ENSG00000149196
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FAT3	0.989	-0.006	0.977	-0.029	ENSG00000165323
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC36A4	0.456	-0.223	0.247	-1.16	ENSG00000180773
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TAF1D	0.942	0.022	0.888	0.141	ENSG00000166012
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CWC15	0.02	-0.513	0.002	-3.131	ENSG00000150316
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SRSF8	0.713	-0.1	0.545	-0.606	ENSG00000263465
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ENDOD1	0.462	-0.152	0.255	-1.14	ENSG00000149218
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SESN3	0.73	0.068	0.567	0.572	ENSG00000149212
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CCDC82	0.914	-0.035	0.844	-0.197	ENSG00000149231
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMEM123	0.018	0.485	0.002	3.16	ENSG00000152558
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PDGFD	0.474	-0.222	0.266	-1.113	ENSG00000170962
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GRIA4	0.821	-0.053	0.698	-0.388	ENSG00000152578
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AASDHPPT	0.243	-0.259	0.084	-1.728	ENSG00000149313
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GUCY1A2	0.322	-0.303	0.134	-1.502	ENSG00000152402
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CWF19L2	0.258	0.307	0.093	1.681	ENSG00000152404
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ELMOD1	0.058	-0.395	0.009	-2.629	ENSG00000110675
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CUL5	0.824	-0.064	0.703	-0.382	ENSG00000166266
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ACAT1	0.166	-0.332	0.044	-2.016	ENSG00000075239
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATM	0.829	-0.069	0.712	-0.369	ENSG00000149311
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C11orf87	0.475	-0.217	0.267	-1.111	ENSG00000185742
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RDX	0	0.453	0	4.611	ENSG00000137710
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SIK2	0.301	-0.283	0.12	-1.555	ENSG00000170145
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CRYAB	0.015	0.248	0.001	3.243	ENSG00000109846
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DIXDC1	0.993	-0.003	0.988	-0.015	ENSG00000150764
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DLAT	0.236	-0.314	0.08	-1.752	ENSG00000150768
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TIMM8B	0.491	-0.152	0.284	-1.073	ENSG00000150779
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SDHD	0.002	-0.753	0	-3.985	ENSG00000204370
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PTS	0.263	-0.301	0.097	-1.664	ENSG00000150787
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NCAM1	0.169	0.107	0.046	2.003	ENSG00000149294
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZBTB16	0.7	0.116	0.524	0.637	ENSG00000109906
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CADM1	0.697	0.089	0.519	0.645	ENSG00000182985
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SIK3	0.894	-0.03	0.809	-0.242	ENSG00000160584
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PAFAH1B2	0.674	-0.068	0.488	-0.693	ENSG00000168092
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TAGLN	0.989	0.007	0.975	0.031	ENSG00000149591
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BACE1	0.33	0.172	0.14	1.477	ENSG00000186318
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FXYD6	0.018	-0.355	0.002	-3.168	ENSG00000137726
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SCN2B	0.95	-0.019	0.904	-0.121	ENSG00000149575
ACHE_SERT_LC_WM	ACHE_SERT_Npep	UBE4A	0.124	-0.415	0.028	-2.207	ENSG00000110344
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP5MG	0.001	-0.341	0	-4.029	ENSG00000167283
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KMT2A	0.196	0.257	0.058	1.901	ENSG00000118058
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMEM25	0.036	-0.496	0.004	-2.856	ENSG00000149582
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARCN1	0.629	-0.137	0.436	-0.779	ENSG00000095139
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PHLDB1	0.204	0.262	0.062	1.868	ENSG00000019144
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DDX6	0.217	0.17	0.069	1.819	ENSG00000110367
ACHE_SERT_LC_WM	ACHE_SERT_Npep	RPS25	0.868	-0.023	0.771	-0.292	ENSG00000118181
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TRAPPC4	0.018	-0.571	0.002	-3.175	ENSG00000196655
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HYOU1	0.833	-0.055	0.718	-0.361	ENSG00000149428
ACHE_SERT_LC_WM	ACHE_SERT_Npep	H2AFX	0.313	-0.274	0.127	-1.527	ENSG00000188486
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C2CD2L	0.167	-0.386	0.045	-2.01	ENSG00000172375
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MCAM	0.835	-0.072	0.723	-0.354	ENSG00000076706
ACHE_SERT_LC_WM	ACHE_SERT_Npep	THY1	0.106	-0.195	0.022	-2.304	ENSG00000154096
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NECTIN1	0.858	0.057	0.756	0.311	ENSG00000110400
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARHGEF12	0.641	0.11	0.449	0.758	ENSG00000196914
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SC5D	0.244	-0.163	0.085	-1.725	ENSG00000109929
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SORL1	0.037	0.301	0.005	2.837	ENSG00000137642
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MIR100HG	0.994	0.002	0.991	0.011	ENSG00000255248
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HSPA8	0.001	-0.385	0	-4.254	ENSG00000109971
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GRAMD1B	0.407	-0.227	0.202	-1.277	ENSG00000023171
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SCN3B	0.825	-0.057	0.705	-0.378	ENSG00000166257
ACHE_SERT_LC_WM	ACHE_SERT_Npep	VWA5A	0.009	-0.677	0.001	-3.441	ENSG00000110002
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TBRG1	0.993	-0.003	0.988	-0.016	ENSG00000154144
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SIAE	0.072	-0.44	0.012	-2.525	ENSG00000110013
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NRGN	0.125	-0.433	0.028	-2.201	ENSG00000154146
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HEPACAM	0.002	0.475	0	3.866	ENSG00000165478
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FEZ1	0.235	0.128	0.079	1.758	ENSG00000149557
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EI24	0.53	0.149	0.325	0.985	ENSG00000149547
ACHE_SERT_LC_WM	ACHE_SERT_Npep	STT3A	0.625	-0.141	0.429	-0.792	ENSG00000134910
ACHE_SERT_LC_WM	ACHE_SERT_Npep	APLP2	0.188	-0.16	0.054	-1.929	ENSG00000084234
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZBTB44	0.37	0.227	0.173	1.363	ENSG00000196323
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SNX19	0.707	-0.108	0.535	-0.62	ENSG00000120451
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NTM	0.003	0.438	0	3.852	ENSG00000182667
ACHE_SERT_LC_WM	ACHE_SERT_Npep	OPCML	0.137	-0.4	0.033	-2.141	ENSG00000183715
ACHE_SERT_LC_WM	ACHE_SERT_Npep	JAM3	0.22	0.272	0.071	1.809	ENSG00000166086
ACHE_SERT_LC_WM	ACHE_SERT_Npep	VPS26B	0.501	-0.172	0.292	-1.055	ENSG00000151502
ACHE_SERT_LC_WM	ACHE_SERT_Npep	B3GAT1	0.22	0.268	0.071	1.807	ENSG00000109956
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IQSEC3	0.835	-0.067	0.721	-0.357	ENSG00000120645
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WNK1	0	0.43	0	4.961	ENSG00000060237
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ERC1	0.699	-0.113	0.522	-0.641	ENSG00000082805
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ADIPOR2	0.26	0.272	0.095	1.674	ENSG00000006831
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FKBP4	0.065	-0.352	0.01	-2.578	ENSG00000004478
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CCND2	0.464	-0.202	0.256	-1.136	ENSG00000118971
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NDUFA9	0.146	-0.366	0.036	-2.101	ENSG00000139180
ACHE_SERT_LC_WM	ACHE_SERT_Npep	VWF	0.404	0.226	0.2	1.283	ENSG00000110799
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CD9	0.103	0.288	0.021	2.321	ENSG00000010278
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CD27-AS1	0.409	-0.229	0.204	-1.272	ENSG00000215039
ACHE_SERT_LC_WM	ACHE_SERT_Npep	VAMP1	0.093	-0.346	0.018	-2.377	ENSG00000139190
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPL51	0.749	-0.061	0.591	-0.538	ENSG00000111639
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GAPDH	0	-0.299	0	-6.452	ENSG00000111640
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CHD4	0.024	0.32	0.003	3.034	ENSG00000111642
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PIANP	0.177	-0.338	0.049	-1.97	ENSG00000139200
ACHE_SERT_LC_WM	ACHE_SERT_Npep	COPS7A	0.03	-0.479	0.003	-2.952	ENSG00000111652
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MLF2	0.173	-0.198	0.047	-1.988	ENSG00000089693
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PTMS	0.782	0.061	0.641	0.466	ENSG00000159335
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GPR162	0.256	-0.311	0.092	-1.689	ENSG00000250510
ACHE_SERT_LC_WM	ACHE_SERT_Npep	USP5	0.191	-0.239	0.055	-1.92	ENSG00000111667
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TPI1	0.002	-0.229	0	-3.906	ENSG00000111669
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ENO2	0.016	-0.274	0.001	-3.217	ENSG00000111674
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATN1	0.935	-0.023	0.878	-0.154	ENSG00000111676
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C12orf57	0.275	-0.198	0.104	-1.629	ENSG00000111678
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PHB2	0.311	-0.219	0.126	-1.533	ENSG00000215021
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C1S	0.533	-0.189	0.329	-0.977	ENSG00000182326
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CLSTN3	0.146	-0.282	0.036	-2.102	ENSG00000139182
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC2A3	0.374	-0.221	0.177	-1.352	ENSG00000059804
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NECAP1	0.204	-0.29	0.062	-1.869	ENSG00000089818
ACHE_SERT_LC_WM	ACHE_SERT_Npep	M6PR	0.388	-0.228	0.187	-1.321	ENSG00000003056
ACHE_SERT_LC_WM	ACHE_SERT_Npep	A2M	0	0.534	0	5.197	ENSG00000175899
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GABARAPL1	0.018	-0.272	0.002	-3.168	ENSG00000139112
ACHE_SERT_LC_WM	ACHE_SERT_Npep	YBX3	0.769	-0.098	0.619	-0.497	ENSG00000060138
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SMIM10L1	0.511	-0.176	0.303	-1.03	ENSG00000256537
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CREBL2	0.529	-0.174	0.322	-0.99	ENSG00000111269
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CDKN1B	0.43	-0.17	0.222	-1.224	ENSG00000111276
ACHE_SERT_LC_WM	ACHE_SERT_Npep	APOLD1	0.409	0.277	0.204	1.271	ENSG00000178878
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FAM234B	0.209	-0.351	0.065	-1.847	ENSG00000084444
ACHE_SERT_LC_WM	ACHE_SERT_Npep	H2AFJ	0.486	-0.215	0.277	-1.087	ENSG00000246705
ACHE_SERT_LC_WM	ACHE_SERT_Npep	WBP11	0.206	-0.28	0.063	-1.861	ENSG00000084463
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EPS8	0.551	0.171	0.347	0.941	ENSG00000151491
ACHE_SERT_LC_WM	ACHE_SERT_Npep	STRAP	0.048	-0.331	0.007	-2.727	ENSG00000023734
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MGST1	0.112	0.338	0.024	2.268	ENSG00000008394
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LMO3	0.954	-0.02	0.91	-0.114	ENSG00000048540
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLCO1A2	0.012	0.601	0.001	3.325	ENSG00000084453
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SPX	0.222	-0.297	0.072	-1.8	ENSG00000134548
ACHE_SERT_LC_WM	ACHE_SERT_Npep	LDHB	0.131	-0.119	0.031	-2.166	ENSG00000111716
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CMAS	0.058	-0.333	0.009	-2.633	ENSG00000111726
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ST8SIA1	0.404	0.233	0.2	1.282	ENSG00000111728
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ETNK1	0.368	-0.203	0.172	-1.368	ENSG00000139163
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BCAT1	0.762	0.074	0.608	0.513	ENSG00000060982
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ETFRF1	0.227	-0.327	0.075	-1.783	ENSG00000205707
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KRAS	0.458	-0.218	0.249	-1.153	ENSG00000133703
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BHLHE41	0.33	-0.21	0.14	-1.477	ENSG00000123095
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SSPN	0.348	0.269	0.156	1.42	ENSG00000123096
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FGFR1OP2	0.101	-0.399	0.02	-2.331	ENSG00000111790
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TM7SF3	0.531	-0.174	0.326	-0.983	ENSG00000064115
ACHE_SERT_LC_WM	ACHE_SERT_Npep	MRPS35	0.34	-0.269	0.15	-1.44	ENSG00000061794
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KLHL42	0.853	-0.052	0.748	-0.321	ENSG00000087448
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CCDC91	0.72	0.092	0.553	0.593	ENSG00000123106
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ERGIC2	0.712	-0.109	0.543	-0.608	ENSG00000087502
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMTC1	0.199	-0.369	0.059	-1.891	ENSG00000133687
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CAPRIN2	0.558	-0.164	0.354	-0.927	ENSG00000110888
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DENND5B	0.858	0.05	0.757	0.31	ENSG00000170456
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BICD1	0.21	-0.327	0.066	-1.842	ENSG00000151746
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DNM1L	0.326	-0.176	0.137	-1.489	ENSG00000087470
ACHE_SERT_LC_WM	ACHE_SERT_Npep	KIF21A	0.106	0.169	0.021	2.306	ENSG00000139116
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC2A13	0.012	-0.594	0.001	-3.311	ENSG00000151229
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CNTN1	0.099	-0.244	0.019	-2.346	ENSG00000018236
ACHE_SERT_LC_WM	ACHE_SERT_Npep	YAF2	0.936	0.026	0.879	0.152	ENSG00000015153
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PPHLN1	0.08	-0.477	0.014	-2.466	ENSG00000134283
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZCRB1	0.005	0.358	0	3.621	ENSG00000139168
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TWF1	0.508	-0.178	0.3	-1.037	ENSG00000151239
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NELL2	0.004	-0.707	0	-3.756	ENSG00000184613
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SCAF11	0.502	0.155	0.294	1.051	ENSG00000139218
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC38A1	0.559	-0.14	0.358	-0.919	ENSG00000111371
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC38A2	0.82	-0.044	0.697	-0.389	ENSG00000134294
ACHE_SERT_LC_WM	ACHE_SERT_Npep	AMIGO2	0.083	-0.444	0.015	-2.446	ENSG00000139211
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC48A1	0.48	0.13	0.271	1.101	ENSG00000211584
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PFKM	0.01	-0.469	0.001	-3.39	ENSG00000152556
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ASB8	0.836	0.059	0.725	0.351	ENSG00000177981
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CCDC184	0.045	-0.53	0.006	-2.758	ENSG00000177875
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ARF3	0.059	-0.21	0.009	-2.627	ENSG00000134287
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TUBA1B	0	-0.349	0	-6.568	ENSG00000123416
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TUBA1A	0.029	-0.161	0.003	-2.96	ENSG00000167552
ACHE_SERT_LC_WM	ACHE_SERT_Npep	TMBIM6	0.006	0.195	0	3.563	ENSG00000139644
ACHE_SERT_LC_WM	ACHE_SERT_Npep	FAIM2	0.374	-0.088	0.177	-1.353	ENSG00000135472
ACHE_SERT_LC_WM	ACHE_SERT_Npep	GPD1	0.812	-0.079	0.684	-0.407	ENSG00000167588
ACHE_SERT_LC_WM	ACHE_SERT_Npep	COX14	0.028	-0.451	0.003	-2.981	ENSG00000178449
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DIP2B	0.977	0.008	0.951	0.061	ENSG00000066084
ACHE_SERT_LC_WM	ACHE_SERT_Npep	METTL7A	0.002	0.462	0	3.953	ENSG00000185432
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC11A2	0.238	-0.311	0.081	-1.747	ENSG00000110911
ACHE_SERT_LC_WM	ACHE_SERT_Npep	DAZAP2	0.574	0.083	0.374	0.889	ENSG00000183283
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SLC4A8	0.802	-0.069	0.669	-0.427	ENSG00000050438
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SCN8A	0.784	-0.086	0.645	-0.461	ENSG00000196876
ACHE_SERT_LC_WM	ACHE_SERT_Npep	NR4A1	0.461	0.27	0.252	1.146	ENSG00000123358
ACHE_SERT_LC_WM	ACHE_SERT_Npep	EIF4B	0.972	0.008	0.942	0.073	ENSG00000063046
ACHE_SERT_LC_WM	ACHE_SERT_Npep	SPRYD3	0.146	-0.236	0.036	-2.101	ENSG00000167778
ACHE_SERT_LC_WM	ACHE_SERT_Npep	IGFBP6	0.001	-0.741	0	-4.169	ENSG00000167779
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PFDN5	0.178	0.126	0.05	1.966	ENSG00000123349
ACHE_SERT_LC_WM	ACHE_SERT_Npep	C12orf10	0.169	-0.339	0.046	-2.001	ENSG00000139637
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PRR13	0.402	-0.179	0.198	-1.288	ENSG00000205352
ACHE_SERT_LC_WM	ACHE_SERT_Npep	PCBP2	0.462	0.107	0.254	1.141	ENSG00000197111
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ATP5MC2	0.112	-0.213	0.024	-2.269	ENSG00000135390
ACHE_SERT_LC_WM	ACHE_SERT_Npep	CBX5	0.745	0.065	0.585	0.546	ENSG00000094916
ACHE_SERT_LC_WM	ACHE_SERT_Npep	HNRNPA1	0.161	0.131	0.042	2.037	ENSG00000135486
ACHE_SERT_LC_WM	ACHE_SERT_Npep	COPZ1	0.098	-0.401	0.019	-2.35	ENSG00000111481
ACHE_SERT_LC_WM	ACHE_SERT_Npep	ZNF385A	0.904	0.033	0.827	0.219	ENSG00000161642
ACHE_SERT_LC_WM	ACHE_SERT_Npep	BLOC1S1	0.848	-0.038	0.741	-0.331	ENSG00000135441
