"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"6278","RPS3","ENSMUSG00000030744","6278.1.1","N/A","N/A","N/A"
"6279","ARRB1","ENSMUSG00000018909","6279.1.1","ARRB1","ENSG00000137486","arrestin beta 1 [Source:HGNC Symbol;Acc:HGNC:711]"
"6280","SLCO2B1","ENSMUSG00000030737","6280.1.1","SLCO2B1","ENSG00000137491","solute carrier organic anion transporter family member 2B1 [Source:HGNC Symbol;Acc:HGNC:10962]"
"6281","SPCS2","ENSMUSG00000035227","6281.1.1","SPCS2","ENSG00000118363","signal peptidase complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:28962]"
"6282","RNF169","ENSMUSG00000058761","6282.1.1","RNF169","ENSG00000166439","ring finger protein 169 [Source:HGNC Symbol;Acc:HGNC:26961]"
"6283","POLD3","ENSMUSG00000030726","6283.1.1","N/A","N/A","N/A"
"6284","GM34821","ENSMUSG00000109186","6284.1.1","N/A","N/A","N/A"
"6285","PGM2L1","ENSMUSG00000030729","6285.1.1","PGM2L1","ENSG00000165434","phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]"
"6286","P4HA3","ENSMUSG00000051048","6286.1.1","P4HA3","ENSG00000149380","prolyl 4-hydroxylase subunit alpha 3 [Source:HGNC Symbol;Acc:HGNC:30135]"
"6287","PPME1","ENSMUSG00000030718","6287.1.1","PPME1","ENSG00000214517","protein phosphatase methylesterase 1 [Source:HGNC Symbol;Acc:HGNC:30178]"
"6288","C2CD3","ENSMUSG00000047248","6288.1.1","C2CD3","ENSG00000168014","C2 domain containing 3 centriole elongation regulator [Source:HGNC Symbol;Acc:HGNC:24564]"
"6289","GM10603","ENSMUSG00000099137","6289.1.1","N/A","N/A","N/A"
"6290","MRPL48","ENSMUSG00000030706","6290.1.1","MRPL48","ENSG00000175581","mitochondrial ribosomal protein L48 [Source:HGNC Symbol;Acc:HGNC:16653]"
"6291","RAB6A","ENSMUSG00000030704","6291.1.1","RAB6A","ENSG00000175582","RAB6A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9786]"
"6292","PLEKHB1","ENSMUSG00000030701","6292.1.1","PLEKHB1","ENSG00000021300","pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]"
"6293","FAM168A","ENSMUSG00000029461","6293.1.1","FAM168A","ENSG00000054965","family with sequence similarity 168 member A [Source:HGNC Symbol;Acc:HGNC:28999]"
"6294","RELT","ENSMUSG00000008318","6294.1.1","RELT","ENSG00000054967","RELT TNF receptor [Source:HGNC Symbol;Acc:HGNC:13764]"
"6295","ARHGEF17","ENSMUSG00000032875","6295.1.1","ARHGEF17","ENSG00000110237","Rho guanine nucleotide exchange factor 17 [Source:HGNC Symbol;Acc:HGNC:21726]"
"6296","P2RY6","ENSMUSG00000048779","6296.1.1","P2RY6","ENSG00000171631","pyrimidinergic receptor P2Y6 [Source:HGNC Symbol;Acc:HGNC:8543]"
"6297","FCHSD2","ENSMUSG00000030691","6297.1.1","FCHSD2","ENSG00000137478","FCH and double SH3 domains 2 [Source:HGNC Symbol;Acc:HGNC:29114]"
"6298","ATG16L2","ENSMUSG00000047767","6298.1.1","ATG16L2","ENSG00000168010","autophagy related 16 like 2 [Source:HGNC Symbol;Acc:HGNC:25464]"
"6299","STARD10","ENSMUSG00000030688","6299.1.1","STARD10","ENSG00000214530","StAR related lipid transfer domain containing 10 [Source:HGNC Symbol;Acc:HGNC:10666]"
"6300","ARAP1","ENSMUSG00000032812","6300.1.1","ARAP1","ENSG00000186635","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:16925]"
"6301","PDE2A","ENSMUSG00000030653","6301.1.1","N/A","N/A","N/A"
"6301","PDE2A","ENSMUSG00000110195","6301.2.1","PDE2A","ENSG00000186642","phosphodiesterase 2A [Source:HGNC Symbol;Acc:HGNC:8777]"
"6302","CLPB","ENSMUSG00000001829","6302.1.1","CLPB","ENSG00000162129","ClpB family mitochondrial disaggregase [Source:HGNC Symbol;Acc:HGNC:30664]"
"6303","PHOX2A","ENSMUSG00000007946","6303.1.1","PHOX2A","ENSG00000165462","paired like homeobox 2A [Source:HGNC Symbol;Acc:HGNC:691]"
"6304","INPPL1","ENSMUSG00000032737","6304.1.1","INPPL1","ENSG00000165458","inositol polyphosphate phosphatase like 1 [Source:HGNC Symbol;Acc:HGNC:6080]"
"6305","ANAPC15","ENSMUSG00000030649","6305.1.1","ANAPC15","ENSG00000110200","anaphase promoting complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:24531]"
"6306","LAMTOR1","ENSMUSG00000030842","6306.1.1","LAMTOR1","ENSG00000149357","late endosomal/lysosomal adaptor, MAPK and MTOR activator 1 [Source:HGNC Symbol;Acc:HGNC:26068]"
"6307","LRRC51","ENSMUSG00000064307","6307.1.1","LRRC51","ENSG00000184154","leucine rich repeat containing 51 [Source:HGNC Symbol;Acc:HGNC:55526]"
"6308","NUMA1","ENSMUSG00000066306","6308.1.1","NUMA1","ENSG00000137497","nuclear mitotic apparatus protein 1 [Source:HGNC Symbol;Acc:HGNC:8059]"
"6309","IL18BP","ENSMUSG00000070427","6309.1.1","IL18BP","ENSG00000137496","interleukin 18 binding protein [Source:HGNC Symbol;Acc:HGNC:5987]"
"6310","RNF121","ENSMUSG00000070426","6310.1.1","RNF121","ENSG00000137522","ring finger protein 121 [Source:HGNC Symbol;Acc:HGNC:21070]"
"6311","XNDC1","ENSMUSG00000070425","6311.1.1","N/A","N/A","N/A"
"6311","XNDC1","ENSMUSG00000099481","6311.2.1","N/A","N/A","N/A"
"6312","NUP98","ENSMUSG00000063550","6312.1.1","NUP98","ENSG00000110713","nucleoporin 98 and 96 precursor [Source:HGNC Symbol;Acc:HGNC:8068]"
"6313","PGAP2","ENSMUSG00000030990","6313.1.1","PGAP2","ENSG00000148985","post-GPI attachment to proteins 2 [Source:HGNC Symbol;Acc:HGNC:17893]"
"6314","RHOG","ENSMUSG00000073982","6314.1.1","RHOG","ENSG00000177105","ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]"
"6315","STIM1","ENSMUSG00000030987","6315.1.1","STIM1","ENSG00000167323","stromal interaction molecule 1 [Source:HGNC Symbol;Acc:HGNC:11386]"
"6316","RRM1","ENSMUSG00000030978","6316.1.1","RRM1","ENSG00000167325","ribonucleotide reductase catalytic subunit M1 [Source:HGNC Symbol;Acc:HGNC:10451]"
"6317","OLFR543","N/A","6317.1.1","N/A","N/A","N/A"
"6318","OLFR545","N/A","6318.1.1","N/A","N/A","N/A"
"6319","TRIM68","ENSMUSG00000073968","6319.1.1","TRIM68","ENSG00000167333","tripartite motif containing 68 [Source:HGNC Symbol;Acc:HGNC:21161]"
"6320","OLFR78","N/A","6320.1.1","N/A","N/A","N/A"
"6321","TRIM12A","ENSMUSG00000066258","6321.1.1","TRIM5","ENSG00000132256","tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276]"
"6322","TRIM30A","ENSMUSG00000030921","6322.1.1","TRIM5","ENSG00000132256","tripartite motif containing 5 [Source:HGNC Symbol;Acc:HGNC:16276]"
"6323","OLFR689","N/A","6323.1.1","N/A","N/A","N/A"
"6324","FAM160A2","N/A","6324.1.1","N/A","N/A","N/A"
"6325","CCKBR","ENSMUSG00000030898","6325.1.1","CCKBR","ENSG00000110148","cholecystokinin B receptor [Source:HGNC Symbol;Acc:HGNC:1571]"
"6326","CAVIN3","ENSMUSG00000037060","6326.1.1","CAVIN3","ENSG00000170955","caveolae associated protein 3 [Source:HGNC Symbol;Acc:HGNC:9400]"
"6327","SMPD1","ENSMUSG00000037049","6327.1.1","SMPD1","ENSG00000166311","sphingomyelin phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:11120]"
"6328","APBB1","ENSMUSG00000037032","6328.1.1","APBB1","ENSG00000166313","amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]"
"6329","TRIM3","ENSMUSG00000036989","6329.1.1","TRIM3","ENSG00000110171","tripartite motif containing 3 [Source:HGNC Symbol;Acc:HGNC:10064]"
"6330","ARFIP2","ENSMUSG00000030881","6330.1.1","ARFIP2","ENSG00000132254","ADP ribosylation factor interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:17160]"
"6331","TIMM10B","ENSMUSG00000089847","6331.1.1","N/A","N/A","N/A"
"6331","TIMM10B","ENSMUSG00000110234","6331.2.1","N/A","N/A","N/A"
"6332","DNHD1","ENSMUSG00000030882","6332.1.1","DNHD1","ENSG00000179532","dynein heavy chain domain 1 [Source:HGNC Symbol;Acc:HGNC:26532]"
"6333","RRP8","ENSMUSG00000030888","6333.1.1","RRP8","ENSG00000132275","ribosomal RNA processing 8 [Source:HGNC Symbol;Acc:HGNC:29030]"
"6334","ILK","ENSMUSG00000030890","6334.1.1","ILK","ENSG00000166333","integrin linked kinase [Source:HGNC Symbol;Acc:HGNC:6040]"
"6335","TAF10","ENSMUSG00000043866","6335.1.1","TAF10","ENSG00000166337","TATA-box binding protein associated factor 10 [Source:HGNC Symbol;Acc:HGNC:11543]"
"6336","TPP1","ENSMUSG00000030894","6336.1.1","TPP1","ENSG00000166340","tripeptidyl peptidase 1 [Source:HGNC Symbol;Acc:HGNC:2073]"
"6337","DCHS1","ENSMUSG00000036862","6337.1.1","DCHS1","ENSG00000166341","dachsous cadherin-related 1 [Source:HGNC Symbol;Acc:HGNC:13681]"
"6338","MRPL17","ENSMUSG00000030879","6338.1.1","MRPL17","ENSG00000158042","mitochondrial ribosomal protein L17 [Source:HGNC Symbol;Acc:HGNC:14053]"
"6339","SYT9","ENSMUSG00000062542","6339.1.1","SYT9","ENSG00000170743","synaptotagmin 9 [Source:HGNC Symbol;Acc:HGNC:19265]"
"6340","OLFML1","ENSMUSG00000051041","6340.1.1","OLFML1","ENSG00000183801","olfactomedin like 1 [Source:HGNC Symbol;Acc:HGNC:24473]"
"6341","PPFIBP2","ENSMUSG00000036528","6341.1.1","PPFIBP2","ENSG00000166387","PPFIA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9250]"
"6342","EIF3F","ENSMUSG00000031029","6342.1.1","EIF3F","ENSG00000175390","eukaryotic translation initiation factor 3 subunit F [Source:HGNC Symbol;Acc:HGNC:3275]"
"6343","TUB","ENSMUSG00000031028","6343.1.1","TUB","ENSG00000166402","TUB bipartite transcription factor [Source:HGNC Symbol;Acc:HGNC:12406]"
"6344","GM26599","N/A","6344.1.1","N/A","N/A","N/A"
"6345","RIC3","ENSMUSG00000048330","6345.1.1","RIC3","ENSG00000166405","RIC3 acetylcholine receptor chaperone [Source:HGNC Symbol;Acc:HGNC:30338]"
"6346","LMO1","ENSMUSG00000036111","6346.1.1","LMO1","ENSG00000166407","LIM domain only 1 [Source:HGNC Symbol;Acc:HGNC:6641]"
"6347","STK33","ENSMUSG00000031027","6347.1.1","STK33","ENSG00000130413","serine/threonine kinase 33 [Source:HGNC Symbol;Acc:HGNC:14568]"
"6348","TRIM66","ENSMUSG00000031026","6348.1.1","TRIM66","ENSG00000166436","tripartite motif containing 66 [Source:HGNC Symbol;Acc:HGNC:29005]"
"6349","RPL27A","ENSMUSG00000046364","6349.1.1","RPL27A","ENSG00000166441","ribosomal protein L27a [Source:HGNC Symbol;Acc:HGNC:10329]"
"6350","ST5","N/A","6350.1.1","N/A","N/A","N/A"
"6351","TMEM9B","ENSMUSG00000031021","6351.1.1","TMEM9B","ENSG00000175348","TMEM9 domain family member B [Source:HGNC Symbol;Acc:HGNC:1168]"
"6352","NRIP3","ENSMUSG00000034825","6352.1.1","NRIP3","ENSG00000175352","nuclear receptor interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1167]"
"6353","SCUBE2","ENSMUSG00000007279","6353.1.1","SCUBE2","ENSG00000175356","signal peptide, CUB domain and EGF like domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30425]"
"6354","DENND5A","ENSMUSG00000035901","6354.1.1","DENND5A","ENSG00000184014","DENN domain containing 5A [Source:HGNC Symbol;Acc:HGNC:19344]"
"6355","TMEM41B","ENSMUSG00000047554","6355.1.1","TMEM41B","ENSG00000166471","transmembrane protein 41B [Source:HGNC Symbol;Acc:HGNC:28948]"
"6356","1600010M07RIK","ENSMUSG00000101585","6356.1.1","N/A","N/A","N/A"
"6357","IPO7","ENSMUSG00000066232","6357.1.1","IPO7","ENSG00000205339","importin 7 [Source:HGNC Symbol;Acc:HGNC:9852]"
"6358","ZFP143","ENSMUSG00000061079","6358.1.1","ZNF143","ENSG00000166478","zinc finger protein 143 [Source:HGNC Symbol;Acc:HGNC:12928]"
"6359","WEE1","ENSMUSG00000031016","6359.1.1","WEE1","ENSG00000166483","WEE1 G2 checkpoint kinase [Source:HGNC Symbol;Acc:HGNC:12761]"
"6360","SWAP70","ENSMUSG00000031015","6360.1.1","SWAP70","ENSG00000133789","switching B cell complex subunit SWAP70 [Source:HGNC Symbol;Acc:HGNC:17070]"
"6361","SBF2","ENSMUSG00000038371","6361.1.1","SBF2","ENSG00000133812","SET binding factor 2 [Source:HGNC Symbol;Acc:HGNC:2135]"
"6362","AMPD3","ENSMUSG00000005686","6362.1.1","AMPD3","ENSG00000133805","adenosine monophosphate deaminase 3 [Source:HGNC Symbol;Acc:HGNC:470]"
"6363","RNF141","ENSMUSG00000030788","6363.1.1","RNF141","ENSG00000110315","ring finger protein 141 [Source:HGNC Symbol;Acc:HGNC:21159]"
"6364","CTR9","ENSMUSG00000005609","6364.1.1","CTR9","ENSG00000198730","CTR9 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:16850]"
"6365","EIF4G2","ENSMUSG00000005610","6365.1.1","EIF4G2","ENSG00000110321","eukaryotic translation initiation factor 4 gamma 2 [Source:HGNC Symbol;Acc:HGNC:3297]"
"6366","GALNT18","ENSMUSG00000038296","6366.1.1","GALNT18","ENSG00000110328","polypeptide N-acetylgalactosaminyltransferase 18 [Source:HGNC Symbol;Acc:HGNC:30488]"
"6367","USP47","ENSMUSG00000059263","6367.1.1","USP47","ENSG00000170242","ubiquitin specific peptidase 47 [Source:HGNC Symbol;Acc:HGNC:20076]"
"6368","DKK3","ENSMUSG00000030772","6368.1.1","DKK3","ENSG00000050165","dickkopf WNT signaling pathway inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:2893]"
"6369","MICAL2","ENSMUSG00000038244","6369.1.1","MICAL2","ENSG00000133816","microtubule associated monooxygenase, calponin and LIM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24693]"
"6370","PARVA","ENSMUSG00000030770","6370.1.1","PARVA","ENSG00000197702","parvin alpha [Source:HGNC Symbol;Acc:HGNC:14652]"
"6371","PARVAOS","ENSMUSG00000085049","6371.1.1","N/A","N/A","N/A"
"6372","TEAD1","ENSMUSG00000055320","6372.1.1","TEAD1","ENSG00000187079","TEA domain transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11714]"
"6373","ARNTL","N/A","6373.1.1","N/A","N/A","N/A"
"6374","BTBD10","ENSMUSG00000038187","6374.1.1","BTBD10","ENSG00000148925","BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:21445]"
"6375","FAR1","ENSMUSG00000030759","6375.1.1","FAR1","ENSG00000197601","fatty acyl-CoA reductase 1 [Source:HGNC Symbol;Acc:HGNC:26222]"
"6376","FAR1OS","ENSMUSG00000084984","6376.1.1","N/A","N/A","N/A"
"6377","SPON1","ENSMUSG00000038156","6377.1.1","SPON1","ENSG00000262655","spondin 1 [Source:HGNC Symbol;Acc:HGNC:11252]"
"6378","RRAS2","ENSMUSG00000055723","6378.1.1","RRAS2","ENSG00000133818","RAS related 2 [Source:HGNC Symbol;Acc:HGNC:17271]"
"6379","COPB1","ENSMUSG00000030754","6379.1.1","COPB1","ENSG00000129083","COPI coat complex subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:2231]"
"6380","PSMA1","ENSMUSG00000030751","6380.1.1","PSMA1","ENSG00000129084","proteasome 20S subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:9530]"
"6381","4933406I18RIK","ENSMUSG00000087475","6381.1.1","N/A","N/A","N/A"
"6382","PDE3B","ENSMUSG00000030671","6382.1.1","PDE3B","ENSG00000152270","phosphodiesterase 3B [Source:HGNC Symbol;Acc:HGNC:8779]"
"6383","CALCA","ENSMUSG00000030669","6383.1.1","CALCA","ENSG00000110680","calcitonin related polypeptide alpha [Source:HGNC Symbol;Acc:HGNC:1437]"
"6384","INSC","ENSMUSG00000048782","6384.1.1","INSC","ENSG00000188487","INSC spindle orientation adaptor protein [Source:HGNC Symbol;Acc:HGNC:33116]"
"6385","SOX6","ENSMUSG00000051910","6385.1.1","SOX6","ENSG00000110693","SRY-box transcription factor 6 [Source:HGNC Symbol;Acc:HGNC:16421]"
"6386","GM45025","ENSMUSG00000108489","6386.1.1","N/A","N/A","N/A"
"6387","1110004F10RIK","ENSMUSG00000030663","6387.1.1","C11orf58","ENSG00000110696","chromosome 11 open reading frame 58 [Source:HGNC Symbol;Acc:HGNC:16990]"
"6388","PLEKHA7","ENSMUSG00000045659","6388.1.1","PLEKHA7","ENSG00000166689","pleckstrin homology domain containing A7 [Source:HGNC Symbol;Acc:HGNC:27049]"
"6389","RPS13","ENSMUSG00000090862","6389.1.1","RPS13","ENSG00000110700","ribosomal protein S13 [Source:HGNC Symbol;Acc:HGNC:10386]"
"6390","GM44777","ENSMUSG00000108738","6390.1.1","N/A","N/A","N/A"
"6391","PIK3C2A","ENSMUSG00000030660","6391.1.1","PIK3C2A","ENSG00000011405","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]"
"6392","NUCB2","ENSMUSG00000030659","6392.1.1","NUCB2","ENSG00000070081","nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]"
"6393","XYLT1","ENSMUSG00000030657","6393.1.1","XYLT1","ENSG00000103489","xylosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:15516]"
"6394","RPS15A","ENSMUSG00000008683","6394.1.1","RPS15A","ENSG00000134419","ribosomal protein S15a [Source:HGNC Symbol;Acc:HGNC:10389]"
"6395","ARL6IP1","ENSMUSG00000030654","6395.1.1","ARL6IP1","ENSG00000170540","ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]"
"6396","SMG1","ENSMUSG00000030655","6396.1.1","SMG1","ENSG00000157106","SMG1 nonsense mediated mRNA decay associated PI3K related kinase [Source:HGNC Symbol;Acc:HGNC:30045]"
"6397","SYT17","ENSMUSG00000058420","6397.1.1","SYT17","ENSG00000103528","synaptotagmin 17 [Source:HGNC Symbol;Acc:HGNC:24119]"
"6398","COQ7","ENSMUSG00000030652","6398.1.1","COQ7","ENSG00000167186","coenzyme Q7, hydroxylase [Source:HGNC Symbol;Acc:HGNC:2244]"
"6399","TMC7","ENSMUSG00000042246","6399.1.1","TMC7","ENSG00000170537","transmembrane channel like 7 [Source:HGNC Symbol;Acc:HGNC:23000]"
"6400","GDE1","ENSMUSG00000033917","6400.1.1","GDE1","ENSG00000006007","glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]"
"6401","CCP110","ENSMUSG00000033904","6401.1.1","CCP110","ENSG00000103540","centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]"
"6402","9030624J02RIK","N/A","6402.1.1","N/A","N/A","N/A"
"6403","KNOP1","ENSMUSG00000030980","6403.1.1","KNOP1","ENSG00000103550","lysine rich nucleolar protein 1 [Source:HGNC Symbol;Acc:HGNC:34404]"
"6404","IQCK","ENSMUSG00000073856","6404.1.1","IQCK","ENSG00000174628","IQ motif containing K [Source:HGNC Symbol;Acc:HGNC:28556]"
"6405","GPRC5B","ENSMUSG00000008734","6405.1.1","GPRC5B","ENSG00000167191","G protein-coupled receptor class C group 5 member B [Source:HGNC Symbol;Acc:HGNC:13308]"
"6406","GPR139","ENSMUSG00000066197","6406.1.1","GPR139","ENSG00000180269","G protein-coupled receptor 139 [Source:HGNC Symbol;Acc:HGNC:19995]"
"6407","THUMPD1","ENSMUSG00000030942","6407.1.1","THUMPD1","ENSG00000066654","THUMP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23807]"
"6408","GM44866","ENSMUSG00000109233","6408.1.1","N/A","N/A","N/A"
"6409","ERI2","ENSMUSG00000030929","6409.1.1","ERI2","ENSG00000196678","ERI1 exoribonuclease family member 2 [Source:HGNC Symbol;Acc:HGNC:30541]"
"6410","REXO5","ENSMUSG00000030924","6410.1.1","REXO5","ENSG00000005189","RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]"
"6411","DCUN1D3","ENSMUSG00000048787","6411.1.1","DCUN1D3","ENSG00000188215","defective in cullin neddylation 1 domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28734]"
"6412","LYRM1","ENSMUSG00000030922","6412.1.1","LYRM1","ENSG00000102897","LYR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:25074]"
"6413","DNAH3","ENSMUSG00000052273","6413.1.1","DNAH3","ENSG00000158486","dynein axonemal heavy chain 3 [Source:HGNC Symbol;Acc:HGNC:2949]"
"6414","TMEM159","N/A","6414.1.1","N/A","N/A","N/A"
"6415","GM32916","ENSMUSG00000109113","6415.1.1","N/A","N/A","N/A"
"6416","UQCRC2","ENSMUSG00000030884","6416.1.1","UQCRC2","ENSG00000140740","ubiquinol-cytochrome c reductase core protein 2 [Source:HGNC Symbol;Acc:HGNC:12586]"
"6417","MOSMO","ENSMUSG00000046096","6417.1.1","MOSMO","ENSG00000185716","modulator of smoothened [Source:HGNC Symbol;Acc:HGNC:27087]"
"6418","VWA3A","ENSMUSG00000030889","6418.1.1","VWA3A","ENSG00000175267","von Willebrand factor A domain containing 3A [Source:HGNC Symbol;Acc:HGNC:27088]"
"6419","EEF2K","ENSMUSG00000035064","6419.1.1","EEF2K","ENSG00000103319","eukaryotic elongation factor 2 kinase [Source:HGNC Symbol;Acc:HGNC:24615]"
"6420","POLR3E","ENSMUSG00000030880","6420.1.1","POLR3E","ENSG00000058600","RNA polymerase III subunit E [Source:HGNC Symbol;Acc:HGNC:30347]"
"6421","CDR2","ENSMUSG00000030878","6421.1.1","CDR2","ENSG00000140743","cerebellar degeneration related protein 2 [Source:HGNC Symbol;Acc:HGNC:1799]"
"6422","METTL9","ENSMUSG00000030876","6422.1.1","METTL9","ENSG00000197006","methyltransferase 9, His-X-His N1-histidine [Source:HGNC Symbol;Acc:HGNC:24586]"
"6423","IGSF6","ENSMUSG00000035004","6423.1.1","IGSF6","ENSG00000140749","immunoglobulin superfamily member 6 [Source:HGNC Symbol;Acc:HGNC:5953]"
"6424","HS3ST2","ENSMUSG00000046321","6424.1.1","HS3ST2","ENSG00000122254","heparan sulfate-glucosamine 3-sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:5195]"
"6425","4933432K03RIK","ENSMUSG00000108811","6425.1.1","N/A","N/A","N/A"
"6426","USP31","ENSMUSG00000063317","6426.1.1","USP31","ENSG00000103404","ubiquitin specific peptidase 31 [Source:HGNC Symbol;Acc:HGNC:20060]"
"6427","COG7","ENSMUSG00000034951","6427.1.1","COG7","ENSG00000168434","component of oligomeric golgi complex 7 [Source:HGNC Symbol;Acc:HGNC:18622]"
"6428","GM44987","ENSMUSG00000108511","6428.1.1","N/A","N/A","N/A"
"6429","GGA2","ENSMUSG00000030872","6429.1.1","GGA2","ENSG00000103365","golgi associated, gamma adaptin ear containing, ARF binding protein 2 [Source:HGNC Symbol;Acc:HGNC:16064]"
"6430","EARS2","ENSMUSG00000030871","6430.1.1","EARS2","ENSG00000103356","glutamyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:29419]"
"6431","UBFD1","ENSMUSG00000030870","6431.1.1","UBFD1","ENSG00000103353","ubiquitin family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30565]"
"6432","NDUFAB1","ENSMUSG00000030869","6432.1.1","NDUFAB1","ENSG00000004779","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]"
"6433","DCTN5","ENSMUSG00000030868","6433.1.1","DCTN5","ENSG00000166847","dynactin subunit 5 [Source:HGNC Symbol;Acc:HGNC:24594]"
"6434","GM15489","ENSMUSG00000086942","6434.1.1","N/A","N/A","N/A"
"6435","ERN2","ENSMUSG00000030866","6435.1.1","ERN2","ENSG00000134398","endoplasmic reticulum to nucleus signaling 2 [Source:HGNC Symbol;Acc:HGNC:16942]"
"6436","PRKCB","ENSMUSG00000052889","6436.1.1","PRKCB","ENSG00000166501","protein kinase C beta [Source:HGNC Symbol;Acc:HGNC:9395]"
"6437","CACNG3","ENSMUSG00000066189","6437.1.1","CACNG3","ENSG00000006116","calcium voltage-gated channel auxiliary subunit gamma 3 [Source:HGNC Symbol;Acc:HGNC:1407]"
"6438","RBBP6","ENSMUSG00000030779","6438.1.1","RBBP6","ENSG00000122257","RB binding protein 6, ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:9889]"
"6439","GM45846","ENSMUSG00000110230","6439.1.1","N/A","N/A","N/A"
"6440","GM45847","ENSMUSG00000109814","6440.1.1","N/A","N/A","N/A"
"6441","TNRC6A","ENSMUSG00000052707","6441.1.1","TNRC6A","ENSG00000090905","trinucleotide repeat containing adaptor 6A [Source:HGNC Symbol;Acc:HGNC:11969]"
"6442","SLC5A11","ENSMUSG00000030769","6442.1.1","SLC5A11","ENSG00000158865","solute carrier family 5 member 11 [Source:HGNC Symbol;Acc:HGNC:23091]"
"6443","ARHGAP17","ENSMUSG00000030766","6443.1.1","ARHGAP17","ENSG00000140750","Rho GTPase activating protein 17 [Source:HGNC Symbol;Acc:HGNC:18239]"
"6444","LCMT1","ENSMUSG00000030763","6444.1.1","LCMT1","ENSG00000205629","leucine carboxyl methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17557]"
"6445","ZKSCAN2","ENSMUSG00000030757","6445.1.1","ZKSCAN2","ENSG00000155592","zinc finger with KRAB and SCAN domains 2 [Source:HGNC Symbol;Acc:HGNC:25677]"
"6446","HS3ST4","ENSMUSG00000078591","6446.1.1","HS3ST4","ENSG00000182601","heparan sulfate-glucosamine 3-sulfotransferase 4 [Source:HGNC Symbol;Acc:HGNC:5200]"
"6447","KDM8","ENSMUSG00000030752","6447.1.1","KDM8","ENSG00000155666","lysine demethylase 8 [Source:HGNC Symbol;Acc:HGNC:25840]"
"6448","NSMCE1","ENSMUSG00000030750","6448.1.1","NSMCE1","ENSG00000169189","NSE1 homolog, SMC5-SMC6 complex component [Source:HGNC Symbol;Acc:HGNC:29897]"
"6449","IL4RA","ENSMUSG00000030748","6449.1.1","IL4R","ENSG00000077238","interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]"
"6450","GTF3C1","ENSMUSG00000032777","6450.1.1","GTF3C1","ENSG00000077235","general transcription factor IIIC subunit 1 [Source:HGNC Symbol;Acc:HGNC:4664]"
"6451","D430042O09RIK","N/A","6451.1.1","N/A","N/A","N/A"
"6452","GSG1L","ENSMUSG00000046182","6452.1.1","GSG1L","ENSG00000169181","GSG1 like [Source:HGNC Symbol;Acc:HGNC:28283]"
"6453","XPO6","ENSMUSG00000000131","6453.1.1","XPO6","ENSG00000169180","exportin 6 [Source:HGNC Symbol;Acc:HGNC:19733]"
"6454","SBK1","ENSMUSG00000042978","6454.1.1","SBK1","ENSG00000188322","SH3 domain binding kinase 1 [Source:HGNC Symbol;Acc:HGNC:17699]"
