Gene Symbol	Gene for PCA, Harmony, Clustering	Rank (n=85 sections)	Deviance (n=85 sections)	Ensembl Gene ID
KIF23	No	17052	1937.68	ENSG00000137807
AL353708.3	No	17053	1937.29	ENSG00000272906
UTS2	No	17054	1936.97	ENSG00000049247
TLR6	No	17055	1936.27	ENSG00000174130
RAD54L	No	17056	1935.19	ENSG00000085999
AC022144.1	No	17057	1934.96	ENSG00000267892
CENPK	No	17058	1934.43	ENSG00000123219
AC092691.1	No	17059	1933.74	ENSG00000239268
AC104964.3	No	17060	1930.59	ENSG00000261451
LINC01484	No	17061	1930.47	ENSG00000253686
AC005225.2	No	17062	1930.02	ENSG00000258603
LINC02123	No	17063	1928.52	ENSG00000250668
LINC01309	No	17064	1928.18	ENSG00000234551
PNLDC1	No	17065	1927.82	ENSG00000146453
SPATA1	No	17066	1927.41	ENSG00000122432
AC078785.1	No	17067	1927.24	ENSG00000240057
AC073878.1	No	17068	1926.55	ENSG00000261570
AC083964.1	No	17069	1926.12	ENSG00000272293
HPD	No	17070	1926.04	ENSG00000158104
IL1RL2	No	17071	1925.14	ENSG00000115598
GDF15	No	17072	1924.57	ENSG00000130513
AC007773.1	No	17073	1924.32	ENSG00000267213
AC069228.1	No	17074	1924.22	ENSG00000258162
IGHM	No	17075	1923.9	ENSG00000211899
HPSE	No	17076	1923.57	ENSG00000173083
CYTIP	No	17077	1923.41	ENSG00000115165
ZNF296	No	17078	1921.97	ENSG00000170684
AL162431.1	No	17079	1921.2	ENSG00000243155
AL020997.3	No	17080	1920.96	ENSG00000270031
LINC01151	No	17081	1920.66	ENSG00000253819
OR11G2	No	17082	1919.42	ENSG00000196832
SPRR2G	No	17083	1916.95	ENSG00000159516
AL844908.2	No	17084	1916.61	ENSG00000273027
AC012349.1	No	17085	1916.34	ENSG00000254254
OXT	No	17086	1915.67	ENSG00000101405
AC253576.2	No	17087	1915.31	ENSG00000275426
PCDHGA6	No	17088	1914.44	ENSG00000253731
BVES-AS1	No	17089	1914.05	ENSG00000203808
BAAT	No	17090	1913.87	ENSG00000136881
LINC01201	No	17091	1912.71	ENSG00000228659
VSIG8	No	17092	1912.38	ENSG00000243284
AC083843.3	No	17093	1912.17	ENSG00000259820
LINC01992	No	17094	1912.11	ENSG00000260019
EZH2	No	17095	1911.21	ENSG00000106462
GAS5-AS1	No	17096	1910.56	ENSG00000270084
AC019197.1	No	17097	1910	ENSG00000236283
AL365203.2	No	17098	1909.67	ENSG00000273038
SLC23A1	No	17099	1909.17	ENSG00000170482
PCDHB1	No	17100	1908.69	ENSG00000171815
AL136295.2	No	17101	1908.43	ENSG00000259321
CYP27C1	No	17102	1908.25	ENSG00000186684
GPR132	No	17103	1908.15	ENSG00000183484
AL353708.1	No	17104	1905.81	ENSG00000260360
TGM1	No	17105	1904.63	ENSG00000092295
TK1	No	17106	1904.37	ENSG00000167900
MANEA-DT	No	17107	1903.78	ENSG00000261366
AC134312.5	No	17108	1902.59	ENSG00000261327
LINC01819	No	17109	1901.33	ENSG00000231826
AC012020.1	No	17110	1900.77	ENSG00000279277
C1GALT1C1L	No	17111	1900.53	ENSG00000223658
SCIMP	No	17112	1899.3	ENSG00000161929
AL078602.1	No	17113	1898.63	ENSG00000235538
AC078795.1	No	17114	1898.57	ENSG00000269984
AC116667.1	No	17115	1898.12	ENSG00000271009
AC025031.3	No	17116	1897.88	ENSG00000274591
AL022344.1	No	17117	1897.39	ENSG00000259869
CASR	No	17118	1897.09	ENSG00000036828
KDM4A-AS1	No	17119	1896.92	ENSG00000236200
AC121757.2	No	17120	1894.38	ENSG00000287051
ACP4	No	17121	1894.17	ENSG00000142513
AC008764.8	No	17122	1890.98	ENSG00000279529
BTC	No	17123	1890.55	ENSG00000174808
OR7C1	No	17124	1890.32	ENSG00000127530
NPY5R	No	17125	1888.33	ENSG00000164129
AC244517.1	No	17126	1888.07	ENSG00000272108
EEF1AKMT4	No	17127	1887.77	ENSG00000284753
AC079148.1	No	17128	1887.18	ENSG00000260331
SULT1B1	No	17129	1886.86	ENSG00000173597
HTR1A	No	17130	1884.93	ENSG00000178394
AC009955.2	No	17131	1884.7	ENSG00000267919
ROPN1B	No	17132	1883.97	ENSG00000114547
ANKRD7	No	17133	1883.33	ENSG00000106013
AC007666.1	No	17134	1882.06	ENSG00000236754
PRRG2	No	17135	1881.56	ENSG00000126460
NACA2	No	17136	1881.4	ENSG00000253506
AC104117.3	No	17137	1880.86	ENSG00000254035
AC025774.1	No	17138	1880.24	ENSG00000285804
ZBP1	No	17139	1880.14	ENSG00000124256
YEATS2-AS1	No	17140	1879.04	ENSG00000233885
AC074286.1	No	17141	1878.43	ENSG00000236501
ARHGEF39	No	17142	1878.3	ENSG00000137135
CFC1B	No	17143	1877.22	ENSG00000152093
GPR179	No	17144	1876.74	ENSG00000277399
CD180	No	17145	1876.18	ENSG00000134061
RRH	No	17146	1876.05	ENSG00000180245
IL6R-AS1	No	17147	1875.25	ENSG00000228013
MAP3K14-AS1	No	17148	1873.78	ENSG00000267278
KLRK1	No	17149	1871.84	ENSG00000213809
AC002351.1	No	17150	1870.34	ENSG00000258240
AC126773.4	No	17151	1870.01	ENSG00000260577
FOXM1	No	17152	1866.56	ENSG00000111206
YIPF7	No	17153	1864.57	ENSG00000177752
LINC01060	No	17154	1863.61	ENSG00000249378
SLC15A5	No	17155	1862.54	ENSG00000188991
LIN28B-AS1	No	17156	1861.88	ENSG00000203809
AL591845.1	No	17157	1858.06	ENSG00000286379
OR3A2	No	17158	1857.71	ENSG00000221882
TMEM51-AS1	No	17159	1857.3	ENSG00000175147
AL008729.2	No	17160	1855.65	ENSG00000272379
AC073869.3	No	17161	1855.63	ENSG00000273073
AC066613.1	No	17162	1855.17	ENSG00000259668
C5AR2	No	17163	1854.72	ENSG00000134830
MEIKIN	No	17164	1854.26	ENSG00000239642
BCL2L10	No	17165	1852.48	ENSG00000137875
RNASE2	No	17166	1851.95	ENSG00000169385
RAB6C	No	17167	1851.6	ENSG00000222014
LINC02397	No	17168	1851.48	ENSG00000205056
ALDOB	No	17169	1851.41	ENSG00000136872
AL133465.1	No	17170	1847.94	ENSG00000234104
CCR5	No	17171	1847.38	ENSG00000160791
AL035252.3	No	17172	1846.49	ENSG00000277938
AC078881.1	No	17173	1846.32	ENSG00000250131
AC026316.5	No	17174	1846.15	ENSG00000286695
AP002761.4	No	17175	1845.75	ENSG00000260401
C6	No	17176	1845.05	ENSG00000039537
UGT3A2	No	17177	1844.83	ENSG00000168671
IL2RG	No	17178	1844.36	ENSG00000147168
AL731563.3	No	17179	1843.83	ENSG00000272630
AC096642.1	No	17180	1843.56	ENSG00000277007
TLX2	No	17181	1842.57	ENSG00000115297
GOLGA6L10	No	17182	1842.55	ENSG00000278662
HGC6.3	No	17183	1842.46	ENSG00000235994
AC022075.1	No	17184	1841.85	ENSG00000245648
UCKL1-AS1	No	17185	1839.87	ENSG00000280213
AL109628.2	No	17186	1839.79	ENSG00000285830
GZMA	No	17187	1838.86	ENSG00000145649
AC016957.2	No	17188	1838.22	ENSG00000276136
AC073389.3	No	17189	1838.03	ENSG00000272791
SLC5A4-AS1	No	17190	1836.84	ENSG00000242082
COL13A1	No	17191	1833.12	ENSG00000197467
MOCOS	No	17192	1832.97	ENSG00000075643
PRKCZ-AS1	No	17193	1832.83	ENSG00000182873
AC090772.3	No	17194	1832.32	ENSG00000265750
HIST1H2BC	No	17195	1830.93	ENSG00000180596
AL603840.1	No	17196	1830.32	ENSG00000234810
CST7	No	17197	1829.71	ENSG00000077984
ENPP3	No	17198	1828.97	ENSG00000154269
AC099518.4	No	17199	1828.8	ENSG00000261465
UGDH-AS1	No	17200	1828.41	ENSG00000249348
AC093525.4	No	17201	1828.21	ENSG00000261140
DOK7	No	17202	1827.17	ENSG00000175920
CDHR2	No	17203	1826.5	ENSG00000074276
AC092114.1	No	17204	1825.39	ENSG00000260848
ALMS1-IT1	No	17205	1825.05	ENSG00000230002
KLHL33	No	17206	1824.92	ENSG00000185271
KCNRG	No	17207	1822.35	ENSG00000198553
PTCHD4	No	17208	1822.23	ENSG00000244694
USP46-AS1	No	17209	1822.12	ENSG00000248866
AC022382.1	No	17210	1821.28	ENSG00000269886
AL031963.3	No	17211	1820.11	ENSG00000272277
OASL	No	17212	1819.95	ENSG00000135114
AL359921.2	No	17213	1818.82	ENSG00000273058
ACP5	No	17214	1817.05	ENSG00000102575
AL646090.2	No	17215	1816.99	ENSG00000285838
AC132938.1	No	17216	1816.29	ENSG00000260011
AL009179.1	No	17217	1815.57	ENSG00000281706
ELL3	No	17218	1815.49	ENSG00000128886
LINC01588	No	17219	1815.27	ENSG00000214900
AC012378.2	No	17220	1815.1	ENSG00000285805
C9orf170	No	17221	1814.22	ENSG00000204446
AL592146.2	No	17222	1812.75	ENSG00000286572
SLURP2	No	17223	1812.68	ENSG00000283992
AC239799.1	No	17224	1812.25	ENSG00000276509
EVC2	No	17225	1811.64	ENSG00000173040
AC104078.1	No	17226	1810.95	ENSG00000247193
AC010186.3	No	17227	1810.72	ENSG00000257027
CEACAM1	No	17228	1806.55	ENSG00000079385
AL356512.1	No	17229	1805.87	ENSG00000272195
LINC00488	No	17230	1804.64	ENSG00000214381
AL122125.1	No	17231	1804.48	ENSG00000277050
TMEM71	No	17232	1804.41	ENSG00000165071
AC009107.2	No	17233	1804.23	ENSG00000260927
GLIS2-AS1	No	17234	1803.8	ENSG00000262686
VPS33B-DT	No	17235	1801.88	ENSG00000214432
MEIS1-AS2	No	17236	1801.66	ENSG00000230749
PRSS16	No	17237	1801.59	ENSG00000112812
AC139099.2	No	17238	1801.05	ENSG00000262898
AC109466.1	No	17239	1799.97	ENSG00000241956
IGFN1	No	17240	1799.82	ENSG00000163395
AC015712.2	No	17241	1799.1	ENSG00000259583
AC013287.1	No	17242	1799.07	ENSG00000228566
SCART1	No	17243	1798.52	ENSG00000214279
FGFR4	No	17244	1798.45	ENSG00000160867
LCN6	No	17245	1798.22	ENSG00000267206
AC103703.1	No	17246	1796.92	ENSG00000283045
MAMDC2-AS1	No	17247	1796.71	ENSG00000204706
PLGLB2	No	17248	1796.68	ENSG00000125551
IGHG3	No	17249	1796.56	ENSG00000211897
HSD17B3	No	17250	1796.46	ENSG00000130948
AL160254.1	No	17251	1796.21	ENSG00000285588
ZNF221	No	17252	1795.25	ENSG00000159905
TRGC2	No	17253	1795.14	ENSG00000227191
AL160314.2	No	17254	1795.11	ENSG00000258458
LINC02283	No	17255	1794.1	ENSG00000248184
AL353688.1	No	17256	1794.02	ENSG00000286446
AL008718.2	No	17257	1792.81	ENSG00000273287
UCP3	No	17258	1792.7	ENSG00000175564
UBE2Q2L	No	17259	1792.28	ENSG00000259511
AC009570.1	No	17260	1790.17	ENSG00000272986
AL139353.2	No	17261	1789.28	ENSG00000250365
AL121672.2	No	17262	1789.2	ENSG00000235159
AL352979.4	No	17263	1789.01	ENSG00000288045
AL731571.1	No	17264	1788.02	ENSG00000273599
AL117379.1	No	17265	1787.48	ENSG00000273759
AL031587.3	No	17266	1787.02	ENSG00000272582
AC082651.3	No	17267	1786.84	ENSG00000243491
AC091488.1	No	17268	1786.81	ENSG00000271320
AP003419.3	No	17269	1786.73	ENSG00000275484
KLRC1	No	17270	1786.49	ENSG00000134545
AC010834.3	No	17271	1785.28	ENSG00000253854
NRK	No	17272	1785.18	ENSG00000123572
AC087854.1	No	17273	1785.02	ENSG00000251034
SRD5A3-AS1	No	17274	1784.8	ENSG00000249700
AC022506.2	No	17275	1784.52	ENSG00000287200
AC005165.1	No	17276	1784.03	ENSG00000223561
SLC5A8	No	17277	1783.95	ENSG00000256870
FAM53B-AS1	No	17278	1783.91	ENSG00000233334
AL031432.3	No	17279	1783.73	ENSG00000272432
AL365181.4	No	17280	1783.27	ENSG00000272971
AC010931.2	No	17281	1781.4	ENSG00000248540
TEPP	No	17282	1781.13	ENSG00000159648
SPATA22	No	17283	1780.39	ENSG00000141255
HOXB2	No	17284	1779.78	ENSG00000173917
TIGIT	No	17285	1779.36	ENSG00000181847
SPDYE16	No	17286	1779.06	ENSG00000185040
RABGAP1L-IT1	No	17287	1779.01	ENSG00000223525
STEAP1	No	17288	1778.83	ENSG00000164647
RORC	No	17289	1778.24	ENSG00000143365
AC245884.8	No	17290	1776.6	ENSG00000267838
LINC00906	No	17291	1776.51	ENSG00000267339
IL18R1	No	17292	1776.32	ENSG00000115604
AC020765.2	No	17293	1776.1	ENSG00000275441
MIS18A-AS1	No	17294	1775.99	ENSG00000227256
CD209	No	17295	1775.56	ENSG00000090659
AL359711.2	No	17296	1774.84	ENSG00000260273
AC018413.1	No	17297	1774.52	ENSG00000265778
DEPDC1B	No	17298	1774.36	ENSG00000035499
PCDHGB6	No	17299	1773.97	ENSG00000253305
MME	No	17300	1773.21	ENSG00000196549
CDH1	No	17301	1773.05	ENSG00000039068
CCNI2	No	17302	1772.87	ENSG00000205089
LINC01311	No	17303	1772.74	ENSG00000260924
NUF2	No	17304	1772.43	ENSG00000143228
AC018755.4	No	17305	1769.78	ENSG00000273837
AC010157.2	No	17306	1769.62	ENSG00000285739
FXYD2	No	17307	1769.25	ENSG00000137731
AC099670.3	No	17308	1768.13	ENSG00000285525
POLE2	No	17309	1766.24	ENSG00000100479
STAC3	No	17310	1765.82	ENSG00000185482
STAM-AS1	No	17311	1764.69	ENSG00000260589
GGN	No	17312	1764.37	ENSG00000179168
AC005537.1	No	17313	1763.11	ENSG00000232006
AC104024.2	No	17314	1761.8	ENSG00000260328
NIBAN3	No	17315	1761.4	ENSG00000167483
AC239803.1	No	17316	1760.87	ENSG00000273059
PCAT1	No	17317	1760.07	ENSG00000253438
ATP8B3	No	17318	1759.93	ENSG00000130270
AC008764.6	No	17319	1759.15	ENSG00000269399
CYP1A1	No	17320	1759.04	ENSG00000140465
FABP1	No	17321	1758.79	ENSG00000163586
AP001160.4	No	17322	1758.68	ENSG00000269463
KCNK7	No	17323	1758.2	ENSG00000173338
PDE6H	No	17324	1757.47	ENSG00000139053
AC097468.3	No	17325	1757.02	ENSG00000272644
FAM198B-AS1	No	17326	1756.07	ENSG00000248429
AL157813.1	No	17327	1755.52	ENSG00000274929
LINC00562	No	17328	1755.01	ENSG00000260388
AC016831.7	No	17329	1754.89	ENSG00000285106
ATP13A5	No	17330	1753.32	ENSG00000187527
UTS2B	No	17331	1752.35	ENSG00000188958
AC092490.1	No	17332	1752.21	ENSG00000249790
ANKRD53	No	17333	1750.85	ENSG00000144031
CCL3L1	No	17334	1749.95	ENSG00000276085
CCDC87	No	17335	1749.86	ENSG00000182791
ZSWIM8-AS1	No	17336	1748.69	ENSG00000272589
EBLN2	No	17337	1747.81	ENSG00000255423
AP003392.5	No	17338	1746.57	ENSG00000272186
IGHA1	No	17339	1746.43	ENSG00000211895
NPIPB11	No	17340	1746.3	ENSG00000254206
ADAM20	No	17341	1746.13	ENSG00000134007
AC005618.4	No	17342	1745.44	ENSG00000288095
HAGLROS	No	17343	1745.08	ENSG00000226363
RGS9BP	No	17344	1744.16	ENSG00000186326
GLYATL2	No	17345	1743.44	ENSG00000156689
AP001033.2	No	17346	1743.32	ENSG00000273284
Z97832.2	No	17347	1742.42	ENSG00000272374
LINC01715	No	17348	1742.33	ENSG00000229388
RGPD5	No	17349	1741.24	ENSG00000015568
DEFA3	No	17350	1741.23	ENSG00000239839
AL158071.5	No	17351	1740.48	ENSG00000273381
AC092807.3	No	17352	1739.2	ENSG00000282057
PFN4	No	17353	1738.32	ENSG00000176732
ITFG2-AS1	No	17354	1736.55	ENSG00000258325
AL034397.3	No	17355	1736.54	ENSG00000274536
NMRK2	No	17356	1736.43	ENSG00000077009
AP000892.3	No	17357	1736.27	ENSG00000276505
NR1I2	No	17358	1736.18	ENSG00000144852
SFN	No	17359	1735.73	ENSG00000175793
AL512353.1	No	17360	1735.56	ENSG00000228192
PLBD1-AS1	No	17361	1735.11	ENSG00000256751
AC015983.2	No	17362	1734.86	ENSG00000234418
AGTR1	No	17363	1734.51	ENSG00000144891
SVOPL	No	17364	1734.44	ENSG00000157703
RBP5	No	17365	1734.15	ENSG00000139194
AMN	No	17366	1733.47	ENSG00000166126
LINC00115	No	17367	1732.84	ENSG00000225880
AC077690.1	No	17368	1731.01	ENSG00000270207
CCDC158	No	17369	1730.79	ENSG00000163749
ADAMTSL5	No	17370	1729.95	ENSG00000185761
AL731769.2	No	17371	1729.31	ENSG00000288107
AC009961.1	No	17372	1728.72	ENSG00000226266
AL359878.1	No	17373	1728.19	ENSG00000205740
SOCS1	No	17374	1728.13	ENSG00000185338
NDST4	No	17375	1727.84	ENSG00000138653
AC051619.6	No	17376	1727.6	ENSG00000259539
SELE	No	17377	1726.94	ENSG00000007908
AP006284.1	No	17378	1726.24	ENSG00000254815
AC005342.1	No	17379	1725.3	ENSG00000203593
RASSF6	No	17380	1724.63	ENSG00000169435
AC084740.1	No	17381	1724.07	ENSG00000287226
LGSN	No	17382	1723.51	ENSG00000146166
DHH	No	17383	1722.8	ENSG00000139549
AC005332.7	No	17384	1722.71	ENSG00000278740
GAS2L3	No	17385	1721.83	ENSG00000139354
MINAR2	No	17386	1721.54	ENSG00000186367
BARHL1	No	17387	1721.51	ENSG00000125492
ATP2A1	No	17388	1721.26	ENSG00000196296
AC093503.2	No	17389	1720.39	ENSG00000269292
AC036108.3	No	17390	1720.23	ENSG00000261616
ASCL5	No	17391	1720.04	ENSG00000232237
LINC01410	No	17392	1718.88	ENSG00000238113
AL592528.1	No	17393	1717.47	ENSG00000205424
AC012313.6	No	17394	1717.21	ENSG00000269054
AC023480.1	No	17395	1717.18	ENSG00000287720
RASGRP4	No	17396	1716.69	ENSG00000171777
SLC51B	No	17397	1716.43	ENSG00000186198
LINC00921	No	17398	1716.39	ENSG00000281005
AC064875.1	No	17399	1715.85	ENSG00000225649
KRTCAP3	No	17400	1715.16	ENSG00000157992
CCDC178	No	17401	1714.04	ENSG00000166960
SPATS1	No	17402	1712.95	ENSG00000249481
TM6SF2	No	17403	1709.64	ENSG00000213996
SLC2A9	No	17404	1709.55	ENSG00000109667
AC100810.3	No	17405	1708.46	ENSG00000282021
FBXO24	No	17406	1708.29	ENSG00000106336
AL589826.2	No	17407	1708.15	ENSG00000283010
TMSB15B-AS1	No	17408	1707.97	ENSG00000231728
CSAG1	No	17409	1707.65	ENSG00000198930
AL513190.1	No	17410	1706.83	ENSG00000278831
MYOZ2	No	17411	1706.77	ENSG00000172399
AL391095.1	No	17412	1706.17	ENSG00000224635
AL358780.1	No	17413	1706	ENSG00000286881
AL513548.4	No	17414	1704.55	ENSG00000285571
DGCR10	No	17415	1703.64	ENSG00000273164
RLBP1	No	17416	1703.58	ENSG00000140522
AL121768.1	No	17417	1702.86	ENSG00000274492
AL353622.1	No	17418	1702.77	ENSG00000270605
TTC22	No	17419	1702.32	ENSG00000006555
SMIM41	No	17420	1702.15	ENSG00000284791
AC010205.1	No	17421	1702.09	ENSG00000274560
CLCA2	No	17422	1702	ENSG00000137975
KIF12	No	17423	1701.38	ENSG00000136883
AP000459.2	No	17424	1700.81	ENSG00000228592
CT66	No	17425	1699.71	ENSG00000234215
NUSAP1	No	17426	1699.43	ENSG00000137804
FCGR3B	No	17427	1699.1	ENSG00000162747
AP001107.5	No	17428	1698.76	ENSG00000254510
AL122023.1	No	17429	1697.83	ENSG00000278396
SSUH2	No	17430	1697.26	ENSG00000125046
LINC02265	No	17431	1697.19	ENSG00000249241
TMPO-AS1	No	17432	1695.88	ENSG00000257167
AL138824.1	No	17433	1695.35	ENSG00000286885
AC007240.3	No	17434	1694.36	ENSG00000285872
AC005329.1	No	17435	1694.13	ENSG00000248015
ITIH1	No	17436	1693.79	ENSG00000055957
AC104653.1	No	17437	1693.53	ENSG00000228857
AL513218.2	No	17438	1693.17	ENSG00000287078
AC103855.2	No	17439	1693.11	ENSG00000254746
KIF14	No	17440	1693.04	ENSG00000118193
AP005131.7	No	17441	1693.02	ENSG00000272746
AL359233.1	No	17442	1692.15	ENSG00000258696
DIABLO	No	17443	1691.97	ENSG00000184047
AL359921.1	No	17444	1690.11	ENSG00000230325
MMP25	No	17445	1689.79	ENSG00000008516
AC132153.1	No	17446	1686.63	ENSG00000285755
CDH26	No	17447	1685.78	ENSG00000124215
AC005005.4	No	17448	1685.45	ENSG00000278920
RASL11B	No	17449	1685.35	ENSG00000128045
WNT9B	No	17450	1683.89	ENSG00000158955
AC040977.1	No	17451	1683.63	ENSG00000262089
AC007383.2	No	17452	1683.58	ENSG00000227946
AL592156.2	No	17453	1681.47	ENSG00000286475
ARHGEF19	No	17454	1681.23	ENSG00000142632
ZPLD1	No	17455	1681.12	ENSG00000170044
AC008035.1	No	17456	1680.76	ENSG00000272369
DNMBP-AS1	No	17457	1679.64	ENSG00000227695
KRT17	No	17458	1679.47	ENSG00000128422
AP003393.1	No	17459	1679.09	ENSG00000254561
AC073534.2	No	17460	1677.08	ENSG00000276030
AC018761.2	No	17461	1673.53	ENSG00000267062
AC006427.2	No	17462	1673.3	ENSG00000286888
AC021087.1	No	17463	1672.67	ENSG00000248925
PTGIR	No	17464	1672.6	ENSG00000160013
NAT1	No	17465	1672.53	ENSG00000171428
BX284668.2	No	17466	1672.46	ENSG00000228549
ZNF730	No	17467	1672.15	ENSG00000183850
AC010327.7	No	17468	1672.05	ENSG00000286230
KRT83	No	17469	1671.66	ENSG00000170523
ODF3L1	No	17470	1671.52	ENSG00000182950
AL158077.2	No	17471	1670.68	ENSG00000286685
AC005632.3	No	17472	1669.98	ENSG00000261596
UXT-AS1	No	17473	1668.19	ENSG00000267064
AL049651.2	No	17474	1668.07	ENSG00000234646
AL109947.1	No	17475	1667.53	ENSG00000223537
C8orf48	No	17476	1667.16	ENSG00000164743
IL12RB1	No	17477	1667.1	ENSG00000096996
GORAB-AS1	No	17478	1666.7	ENSG00000231407
Z98884.2	No	17479	1666.09	ENSG00000269925
EDA2R	No	17480	1665.66	ENSG00000131080
MAT1A	No	17481	1664.3	ENSG00000151224
C8G	No	17482	1664.17	ENSG00000176919
AC024560.1	No	17483	1663.09	ENSG00000236833
AC006230.1	No	17484	1662.53	ENSG00000287778
PCDHGA10	No	17485	1662.25	ENSG00000253846
KIAA1614-AS1	No	17486	1662.25	ENSG00000232586
NAPSA	No	17487	1661.87	ENSG00000131400
SCN5A	No	17488	1661.77	ENSG00000183873
AL512625.3	No	17489	1661.76	ENSG00000287168
AC004080.1	No	17490	1660.31	ENSG00000253308
AC096564.2	No	17491	1659.6	ENSG00000249604
AL133551.1	No	17492	1659.45	ENSG00000272892
NSMCE1-DT	No	17493	1659.42	ENSG00000245888
MYB	No	17494	1657.51	ENSG00000118513
AL355377.3	No	17495	1656.47	ENSG00000286782
AC107871.2	No	17496	1656.03	ENSG00000260657
SERPINF2	No	17497	1655.82	ENSG00000167711
WNT16	No	17498	1655	ENSG00000002745
TRIML2	No	17499	1654.66	ENSG00000179046
MYBPHL	No	17500	1654.53	ENSG00000221986
LINC02199	No	17501	1654.51	ENSG00000250198
AC092809.2	No	17502	1653.77	ENSG00000232628
ESPNL	No	17503	1652.54	ENSG00000144488
JMJD1C-AS1	No	17504	1651.08	ENSG00000272767
ADAM21	No	17505	1650.5	ENSG00000139985
CNTF	No	17506	1650.4	ENSG00000242689
AC090578.1	No	17507	1649.65	ENSG00000253553
LCMT1-AS1	No	17508	1649.31	ENSG00000260448
LINC02076	No	17509	1648.97	ENSG00000220161
GLUD2	No	17510	1648.95	ENSG00000182890
AC010754.1	No	17511	1646.21	ENSG00000265752
ZNF311	No	17512	1645.93	ENSG00000197935
AL133351.1	No	17513	1645.9	ENSG00000224846
AC004067.1	No	17514	1645.65	ENSG00000273447
MCOLN3	No	17515	1645.54	ENSG00000055732
AHSP	No	17516	1645.28	ENSG00000169877
AL139022.2	No	17517	1644.48	ENSG00000272158
AL355816.2	No	17518	1644.05	ENSG00000273221
C1QTNF8	No	17519	1643.7	ENSG00000184471
UNC5CL	No	17520	1643.44	ENSG00000124602
AC010173.1	No	17521	1643.33	ENSG00000258101
MSC-AS1	No	17522	1643.32	ENSG00000235531
TRGC1	No	17523	1641.5	ENSG00000211689
AC244213.1	No	17524	1641.11	ENSG00000286009
AL024507.2	No	17525	1640.35	ENSG00000272476
DLX4	No	17526	1639.62	ENSG00000108813
AL161938.1	No	17527	1639.57	ENSG00000261411
AC109129.1	No	17528	1639.55	ENSG00000285780
AL133523.1	No	17529	1639.12	ENSG00000258982
SREBF2-AS1	No	17530	1637.81	ENSG00000184068
AQP3	No	17531	1637.77	ENSG00000165272
SP6	No	17532	1637.41	ENSG00000189120
AL589787.2	No	17533	1637.29	ENSG00000287609
TREM1	No	17534	1637.15	ENSG00000124731
FAM163A	No	17535	1636.8	ENSG00000143340
ARL11	No	17536	1633.02	ENSG00000152213
TEX22	No	17537	1632.9	ENSG00000226174
AC104113.1	No	17538	1632.68	ENSG00000272308
GNGT2	No	17539	1632.64	ENSG00000167083
AL022341.2	No	17540	1630.15	ENSG00000262528
AC055733.2	No	17541	1629.5	ENSG00000250592
ASPG	No	17542	1629.46	ENSG00000166183
SYNPO2L	No	17543	1628.59	ENSG00000166317
AL359715.2	No	17544	1628.22	ENSG00000260645
AL031668.2	No	17545	1627.53	ENSG00000287853
AC107294.1	No	17546	1627.06	ENSG00000272922
AC019069.1	No	17547	1626.98	ENSG00000272711
AC011815.2	No	17548	1626.16	ENSG00000274184
CD2	No	17549	1626.09	ENSG00000116824
AL929091.1	No	17550	1625.67	ENSG00000287338
AC016044.1	No	17551	1625.65	ENSG00000259203
CD96	No	17552	1624.13	ENSG00000153283
AL445228.2	No	17553	1622.39	ENSG00000271387
KCNMB2-AS1	No	17554	1622.19	ENSG00000237978
ZNF728	No	17555	1621	ENSG00000269067
P2RX1	No	17556	1619.36	ENSG00000108405
Z95114.4	No	17557	1618.9	ENSG00000279927
ERFL	No	17558	1618.48	ENSG00000268041
AL135905.1	No	17559	1618.39	ENSG00000266680
LAG3	No	17560	1617.38	ENSG00000089692
ETV7	No	17561	1616.97	ENSG00000010030
AC093512.1	No	17562	1616.54	ENSG00000274904
LINC00951	No	17563	1616.07	ENSG00000204092
AC007368.1	No	17564	1616.01	ENSG00000255595
AL359697.1	No	17565	1615.16	ENSG00000279623
POMK	No	17566	1614.19	ENSG00000185900
AC233263.6	No	17567	1614.11	ENSG00000281904
AL353194.1	No	17568	1614.09	ENSG00000229539
AC131009.3	No	17569	1612.96	ENSG00000273568
STMND1	No	17570	1612.74	ENSG00000230873
BX323043.1	No	17571	1612.44	ENSG00000284652
AC005899.7	No	17572	1611.94	ENSG00000278668
FO704657.1	No	17573	1611.92	ENSG00000272004
AL160412.1	No	17574	1609.77	ENSG00000277270
ONECUT1	No	17575	1608.33	ENSG00000169856
AC010976.2	No	17576	1608.17	ENSG00000272789
GADL1	No	17577	1607.86	ENSG00000144644
AC009163.6	No	17578	1606.89	ENSG00000273971
MYBPC2	No	17579	1606.14	ENSG00000086967
AC025048.4	No	17580	1605.64	ENSG00000267416
AC025165.4	No	17581	1605	ENSG00000269903
AC046168.2	No	17582	1603.84	ENSG00000259420
HIST1H2BE	No	17583	1603.82	ENSG00000274290
SLC26A1	No	17584	1603.35	ENSG00000145217
LINC00598	No	17585	1602.23	ENSG00000215483
AC015813.4	No	17586	1601.78	ENSG00000278642
CPA5	No	17587	1601.63	ENSG00000158525
AC013468.1	No	17588	1601.4	ENSG00000273240
AC145207.2	No	17589	1600.65	ENSG00000262413
AC068831.6	No	17590	1600.06	ENSG00000278514
DDTL	No	17591	1599.8	ENSG00000099974
TNFRSF4	No	17592	1599.72	ENSG00000186827
SIK1B	No	17593	1599.57	ENSG00000275993
EVA1A	No	17594	1597.96	ENSG00000115363
